"annee_modele","marque","modele","cyl_L","nbCyl","typeFuel","emiCO2_gkm","cyl_cm3","typ_carb_SAAQ"
"1995","ACURA","INTEG","1.8",4,"X","232",1800,"E"
"1995","ACURA","INTEG","1.8",4,"X","225",1800,"E"
"1995","ACURA","INTEG","1.8",4,"Z","223",1800,"E"
"1995","ACURA","LEGEN","3.2",6,"Z","288",3200,"E"
"1995","ACURA","LEGEN","3.2",6,"Z","299",3200,"E"
"1995","ACURA","LEGEN","3.2",6,"Z","292",3200,"E"
"1995","ACURA","NSX","3.0",6,"Z","304",3000,"E"
"1995","ACURA","NSX","3.0",6,"Z","292",3000,"E"
"1995","ALFAR","164LS","3.0",6,"Z","343",3000,"E"
"1995","ALFAR","164LS","3.0",6,"Z","306",3000,"E"
"1995","AUDI","90","2.8",6,"Z","283",2800,"E"
"1995","AUDI","90","2.8",6,"Z","274",2800,"E"
"1995","AUDI","90QUA","2.8",6,"Z","281",2800,"E"
"1995","AUDI","A6","2.8",6,"Z","292",2800,"E"
"1995","AUDI","A6QUA","2.8",6,"Z","299",2800,"E"
"1995","AUDI","A6QUA","2.8",6,"Z","299",2800,"E"
"1995","AUDI","A6WAG","2.8",6,"Z","292",2800,"E"
"1995","AUDI","CABRI","2.8",6,"Z","288",2800,"E"
"1995","AUDI","S6","2.2",5,"Z","301",2200,"E"
"1995","BENTL","BROOK","6.7",8,"Z","490",6700,"E"
"1995","BENTL","BROOK","6.7",8,"Z","490",6700,"E"
"1995","BENTL","CONTI","6.7",8,"Z","495",6700,"E"
"1995","BENTL","CONTI","6.7",8,"Z","481",6700,"E"
"1995","BENTL","CONTI","6.7",8,"Z","495",6700,"E"
"1995","BENTL","LIMOU","6.7",8,"Z","504",6700,"E"
"1995","BENTL","TURBO","6.7",8,"Z","481",6700,"E"
"1995","BENTL","TURBO","6.7",8,"Z","481",6700,"E"
"1995","BMW","318IC","1.8",4,"Z","255",1800,"E"
"1995","BMW","318IC","1.8",4,"Z","239",1800,"E"
"1995","BMW","318I3","1.8",4,"Z","255",1800,"E"
"1995","BMW","318I3","1.8",4,"Z","237",1800,"E"
"1995","BMW","318TI","1.8",4,"Z","253",1800,"E"
"1995","BMW","318TI","1.8",4,"Z","237",1800,"E"
"1995","BMW","320I","2.0",6,"Z","262",2000,"E"
"1995","BMW","320I","2.0",6,"Z","262",2000,"E"
"1995","BMW","325IC","2.5",6,"Z","265",2500,"E"
"1995","BMW","325IC","2.5",6,"Z","269",2500,"E"
"1995","BMW","325I3","2.5",6,"Z","265",2500,"E"
"1995","BMW","325I3","2.5",6,"Z","269",2500,"E"
